RANK,TIERS,PLAYER,TEAM,UPSIDE,BUST,SOS SEASON,ECR VS. ADP,AVG_DIFF,PCT_OVER,POSITION,POS_RANK,BYE_WEEK,ESPN,Sleeper,CBS,NFL,RTSports,Fantrax,ADP_AVG,ADP_REALTIME,PASS_ATT,PASS_CMP,PASS_YDS,PASS_TDS,PASS_INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,K_FG,K_FGA,K_XPT,DST_SACK,DST_INT,DST_FR,DST_FF,DST_TD,DST_SAFETY,DST_PA,DST_YDS_AGN,2024_PASS_CMP,2024_PASS_ATT,2024_PASS_PCT,2024_PASS_YDS,2024_PASS_YA,2024_PASS_TD,2024_PASS_INT,2024_PASS_SACKS,2024_RUSH_ATT,2024_RUSH_YDS,2024_RUSH_TD,2024_FL,2024_G,2024_FPTS,2024_FPTS_PER_G,2024_ROST,2024_RUSH_YA,2024_RUSH_LG,2024_RUSH_20PLUS,2024_REC_TGT,2024_REC,2024_REC_YDS,2024_REC_YR,2024_REC_TD,2024_REC_LG,2024_REC_20PLUS,2024_K_FG,2024_K_FGA,2024_K_FG_PCT,2024_K_FG_LG,2024_K_FG_1_19,2024_K_FG_20_29,2024_K_FG_30_39,2024_K_FG_40_49,2024_K_FG_50PLUS,2024_K_XPT,2024_K_XPA,2024_DST_SACK,2024_DST_INT,2024_DST_FR,2024_DST_FF,2024_DST_DEF_TD,2024_DST_SFTY,2024_DST_SPC_TD
1,1,Ja'Marr Chase,CIN,5,1,3,0,4.1,56% (9/16),WR,1,10,1,1,1,1,1,1,1,1,,,,,,1.6,12.7,0,0.6,351.8,120.1,"1,580.90",12.2,,,,,,,,,,,,,,,,,,,,3,32,0,0,17,403,23.7,99.80%,,,,175,127,"1,708",13.4,17,70,19,,,,,,,,,,,,,,,,,,
2,1,Bijan Robinson,ATL,5,1,2,0,0.7,56% (9/16),RB,1,5,2,3,2,2,2,2,2.2,2,,,,,,304.8,"1,421.80",11.4,1.4,266.1,58.9,447.2,2.2,,,,,,,,,,,,,,,,,,,,304,"1,456",14,0,17,280.7,16.5,99.80%,4.8,37,5,72,61,431,7.1,1,,,,,,,,,,,,,,,,,,,,
3,1,Saquon Barkley,PHI,5,4,3,0,3.8,50% (8/16),RB,2,9,3,2,3,4,4,6,3.7,3,,,,,,336.4,"1,683.60",11.1,1.4,278.2,43.2,331.1,2.2,,,,,,,,,,,,,,,,,,,,345,"2,005",13,1,16,322.3,20.1,99.80%,5.8,72,17,43,33,278,8.4,2,,,,,,,,,,,,,,,,,,,,
4,1,Justin Jefferson,MIN,5,2,4,1,0.7,50% (8/16),WR,2,6,4,5,6,5,6,4,5,6,,,,,,0.5,2.2,0,0.6,303.7,103.5,"1,443.30",9.5,,,,,,,,,,,,,,,,,,,,1,3,0,0,17,317.5,18.7,99.80%,,,,154,103,"1,533",14.9,10,97,28,,,,,,,,,,,,,,,,,,
5,1,Jahmyr Gibbs,DET,5,2,3,-1,2.9,68% (11/16),RB,3,8,5,4,4,6,3,3,4.2,4,,,,,,240.2,"1,240.40",11.7,1.3,259.5,58.2,511.9,2.8,,,,,,,,,,,,,,,,,,,,250,"1,412",16,1,17,310.9,18.3,99.80%,5.6,70,13,63,52,517,9.9,4,,,,,,,,,,,,,,,,,,,,
6,1,CeeDee Lamb,DAL,5,2,2,0,-0.4,46% (7/15),WR,3,10,6,6,5,3,5,5,5,5,,,,,,9.1,58.8,0.3,1,306.1,112.1,"1,395.20",8.1,,,,,,,,,,,,,,,,,,,,14,70,0,1,15,263.4,17.6,99.80%,,,,152,101,"1,194",11.8,6,65,16,,,,,,,,,,,,,,,,,,
7,2,Derrick Henry,BAL,4,4,2,4,2.8,56% (9/16),RB,4,7,12,8,7,10,12,12,10.2,9  +1,,,,,,306.2,"1,554.40",13.7,1.4,255.8,16.3,153,0.9,,,,,,,,,,,,,,,,,,,,325,"1,921",16,1,17,317.4,18.7,99.70%,5.9,87,19,22,19,193,10.2,2,,,,,,,,,,,,,,,,,,,,
8,2,Nico Collins,HOU,5,2,3,4,0.9,63% (7/11),WR,4,6,13,13,13,16,11,13,13.2,12  +1,,,,,,0,1.6,0,0.5,276.7,92.2,"1,315.20",9,,,,,,,,,,,,,,,,,,,,0,0,0,0,12,210.6,17.6,98.70%,,,,99,68,"1,006",14.8,7,67,14,,,,,,,,,,,,,,,,,,
9,2,Brian Thomas Jr.,JAC,5,2,2,5,3.7,75% (12/16),WR,5,8,17,16,20,12,14,14,15.5,14  +1,,,,,,3.8,24.9,0,0.6,274.5,91.9,"1,293.90",8.6,,,,,,,,,,,,,,,,,,,,6,48,0,0,17,284,16.7,95.40%,,,,133,87,"1,282",14.7,10,85,18,,,,,,,,,,,,,,,,,,
10,2,Malik Nabers,NYG,5,2,3,-2,1.8,42% (6/14),WR,6,14,8,11,11,8,8,9,9.2,2-Oct,,,,,,2.6,12.2,0,0.6,291.3,107,"1,343.60",8.3,,,,,,,,,,,,,,,,,,,,5,2,0,0,15,273.6,18.2,34.40%,,,,170,109,"1,204",11,7,59,16,,,,,,,,,,,,,,,,,,
